PS C:\Windows> tasklist /V

Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
SearchIndexer.exe             1352 Services                   0     36,416 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:06 N/A
svchost.exe                   1828 Services                   0     10,732 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
svchost.exe                   5680 Services                   0     19,248 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
svchost.exe                   5684 Services                   0      8,548 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
svchost.exe                   3568 Services                   0      9,792 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
svchost.exe                   5176 Services                   0      7,592 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A
svchost.exe                   1100 Services                   0     11,900 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
svchost.exe                   6016 Services                   0      8,276 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
SecurityHealthService.exe     4832 Services                   0     12,400 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A
conhost.exe                   2736 Services                   0      5,576 K Unknown         ETERNIA\Robin                                           0:00:00 N/A
sshd.exe                      1332 Services                   0      7,800 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
sshd.exe                      5420 Services                   0      7,880 K Unknown         ETERNIA\Robin                                           0:00:00 N/A
conhost.exe                   3976 Services                   0      5,836 K Unknown         ETERNIA\Robin                                           0:00:01 N/A
cmd.exe                       1940 Services                   0      4,020 K Unknown         ETERNIA\Robin                                           0:00:00 N/A
powershell.exe                5824 Services                   0     91,276 K Unknown         ETERNIA\Robin                                           0:00:05 N/A
powershell.exe                5248 Services                   0     73,924 K Unknown         ETERNIA\Robin                                           0:00:00 N/A
conhost.exe                   5888 Services                   0     10,156 K Unknown         ETERNIA\Robin                                           0:00:00 N/A
tasklist.exe                  5040 Services                   0      8,976 K Unknown         ETERNIA\Robin                                           0:00:00 N/A
